[ноя 6 23:23] mouse_logger: Performance stats - 0 events/sec
[  +0,624164] mouse_logger: [18798753423456] type=2, code=0, value=-1
[  +0,000007] mouse_logger: [18798753431141] type=0, code=0, value=0
[  +0,002743] mouse_logger: [18798756174389] type=2, code=0, value=-1
[  +0,000007] mouse_logger: [18798756181258] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798756183198] type=0, code=0, value=0
[  +0,001994] mouse_logger: [18798758177301] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798758181640] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798758183608] type=0, code=0, value=0
[  +0,000968] mouse_logger: [18798759150803] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798759155682] type=0, code=0, value=0
[  +0,001016] mouse_logger: [18798760170830] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798760175167] type=0, code=0, value=0
[  +0,000981] mouse_logger: [18798761155803] type=2, code=1, value=1
[  +0,000005] mouse_logger: [18798761161079] type=0, code=0, value=0
[  +0,001010] mouse_logger: [18798762171612] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798762176044] type=2, code=1, value=1
[  +0,000001] mouse_logger: [18798762177896] type=0, code=0, value=0
[  +0,000993] mouse_logger: [18798763170434] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798763175541] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798764170698] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798764175646] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798764177648] type=0, code=0, value=0
[  +0,000970] mouse_logger: [18798765147432] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798765152453] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798765155289] type=0, code=0, value=0
[  +0,000992] mouse_logger: [18798766146832] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798766152303] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798766154597] type=0, code=0, value=0
[  +0,000998] mouse_logger: [18798767152077] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798767156938] type=0, code=0, value=0
[  +0,000998] mouse_logger: [18798768154167] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798768159613] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798768161812] type=0, code=0, value=0
[  +0,000983] mouse_logger: [18798769143817] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798769148757] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798769151493] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798770147351] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798770152280] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798770154268] type=0, code=0, value=0
[  +0,001007] mouse_logger: [18798771160768] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798771165580] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798771168353] type=0, code=0, value=0
[  +0,000977] mouse_logger: [18798772145396] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798772150211] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798772152234] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798773147609] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798773152664] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798773155396] type=0, code=0, value=0
[  +0,000993] mouse_logger: [18798774148230] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798774153634] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798774155869] type=0, code=0, value=0
[  +0,000995] mouse_logger: [18798775150159] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798775155230] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798775158080] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798776147282] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798776152714] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798776155018] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798777144125] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798777149193] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798777151957] type=0, code=0, value=0
[  +0,000997] mouse_logger: [18798778148429] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798778153602] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798778155538] type=0, code=0, value=0
[  +0,000997] mouse_logger: [18798779152580] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798779157593] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798779160258] type=0, code=0, value=0
[  +0,000997] mouse_logger: [18798780157788] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798780162730] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798780164780] type=0, code=0, value=0
[  +0,001005] mouse_logger: [18798781169851] type=2, code=0, value=-1
[  +0,000006] mouse_logger: [18798781175735] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798781178403] type=0, code=0, value=0
[  +0,000942] mouse_logger: [18798782120468] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798782124788] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798782126830] type=0, code=0, value=0
[  +0,001022] mouse_logger: [18798783148795] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798783153751] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798783156491] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798784147186] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798784152432] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798784154376] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798785145249] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798785150207] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798785152987] type=0, code=0, value=0
[  +0,000971] mouse_logger: [18798786122954] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798786128426] type=2, code=1, value=1
[  +0,000003] mouse_logger: [18798786131258] type=0, code=0, value=0
[  +0,001026] mouse_logger: [18798787157363] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798787162828] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798787165818] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798788161318] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798788166575] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798788169549] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798789159852] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798789163963] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798789165901] type=0, code=0, value=0
[  +0,000985] mouse_logger: [18798790150152] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798790155012] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798790157978] type=0, code=0, value=0
[  +0,000993] mouse_logger: [18798791150054] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798791154792] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798791156778] type=0, code=0, value=0
[  +0,000986] mouse_logger: [18798792142487] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798792147345] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798792150939] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798793141308] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798793146437] type=2, code=1, value=1
[  +0,000002] mouse_logger: [18798793149143] type=0, code=0, value=0
[  +0,001005] mouse_logger: [18798794153366] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798794158540] type=2, code=1, value=3
[  +0,000003] mouse_logger: [18798794161349] type=0, code=0, value=0
[  +0,000987] mouse_logger: [18798795148966] type=2, code=0, value=-2
[  +0,000006] mouse_logger: [18798795154423] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798795156554] type=0, code=0, value=0
[  +0,001000] mouse_logger: [18798796156062] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798796160946] type=2, code=1, value=3
[  +0,000003] mouse_logger: [18798796163499] type=0, code=0, value=0
[  +0,001001] mouse_logger: [18798797164078] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798797169319] type=2, code=1, value=2
[  +0,000002] mouse_logger: [18798797172105] type=0, code=0, value=0
[  +0,000972] mouse_logger: [18798798143285] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798798148561] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798798151284] type=0, code=0, value=0
[  +0,000991] mouse_logger: [18798799141255] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798799145448] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798799147396] type=0, code=0, value=0
[  +0,001003] mouse_logger: [18798800149946] type=2, code=0, value=-2
[  +0,000005] mouse_logger: [18798800155003] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798800157854] type=0, code=0, value=0
[  +0,000989] mouse_logger: [18798801146551] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798801150857] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798801152860] type=0, code=0, value=0
[  +0,000953] mouse_logger: [18798802105765] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798802110002] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798802111971] type=0, code=0, value=0
[  +0,001040] mouse_logger: [18798803151732] type=2, code=0, value=-1
[  +0,000005] mouse_logger: [18798803157136] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798803159803] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798804149956] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798804154129] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798804156013] type=0, code=0, value=0
[  +0,000994] mouse_logger: [18798805149419] type=2, code=0, value=-2
[  +0,000004] mouse_logger: [18798805153517] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798805156152] type=0, code=0, value=0
[  +0,000987] mouse_logger: [18798806142868] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798806146358] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798806147934] type=0, code=0, value=0
[  +0,000993] mouse_logger: [18798807140644] type=2, code=0, value=-1
[  +0,000004] mouse_logger: [18798807144650] type=2, code=1, value=3
[  +0,000002] mouse_logger: [18798807147158] type=0, code=0, value=0
[  +0,000990] mouse_logger: [18798808136619] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798808139722] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798808141287] type=0, code=0, value=0
[  +0,000981] mouse_logger: [18798809121798] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798809125181] type=2, code=1, value=2
[  +0,000003] mouse_logger: [18798809127602] type=0, code=0, value=0
[  +0,001011] mouse_logger: [18798810138875] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798810141898] type=2, code=1, value=3
[  +0,000001] mouse_logger: [18798810143425] type=0, code=0, value=0
[  +0,000996] mouse_logger: [18798811138327] type=2, code=0, value=-2
[  +0,000003] mouse_logger: [18798811142296] type=2, code=1, value=3
[  +0,000003] mouse_logger: [18798811144696] type=0, code=0, value=0
