[18825.034054] mouse_logger: [18825381527462] type=2, code=0, value=-2
[18825.034057] mouse_logger: Movement - axis X, delta=-2
[18825.034058] mouse_logger: [18825381531903] type=2, code=1, value=1
[18825.034060] mouse_logger: Movement - axis Y, delta=1
[18825.034061] mouse_logger: [18825381534587] type=0, code=0, value=0
[18825.034957] mouse_logger: [18825382430385] type=2, code=0, value=-2
[18825.034960] mouse_logger: Movement - axis X, delta=-2
[18825.034961] mouse_logger: [18825382434774] type=0, code=0, value=0
[18825.035956] mouse_logger: [18825383429872] type=2, code=0, value=-2
[18825.035960] mouse_logger: [18825383433306] type=2, code=1, value=1
[18825.035961] mouse_logger: [18825383434928] type=0, code=0, value=0
[18825.037027] mouse_logger: [18825384500295] type=2, code=0, value=-1
[18825.037030] mouse_logger: [18825384503658] type=0, code=0, value=0
[18825.037935] mouse_logger: [18825385408528] type=2, code=0, value=-2
[18825.037938] mouse_logger: [18825385412083] type=2, code=1, value=1
[18825.037940] mouse_logger: [18825385413680] type=0, code=0, value=0
[18825.039053] mouse_logger: [18825386526907] type=2, code=0, value=-2
[18825.039056] mouse_logger: [18825386530121] type=2, code=1, value=1
[18825.039058] mouse_logger: [18825386531723] type=0, code=0, value=0
[18825.040057] mouse_logger: [18825387530841] type=2, code=0, value=-1
[18825.040061] mouse_logger: [18825387534491] type=0, code=0, value=0
[18825.041058] mouse_logger: [18825388531679] type=2, code=0, value=-2
[18825.041061] mouse_logger: [18825388534909] type=2, code=1, value=1
[18825.041063] mouse_logger: [18825388536484] type=0, code=0, value=0
[18825.041961] mouse_logger: [18825389434281] type=2, code=0, value=-2
[18825.041967] mouse_logger: [18825389441185] type=0, code=0, value=0
[18825.042961] mouse_logger: [18825390433937] type=2, code=0, value=-2
[18825.042964] mouse_logger: [18825390437970] type=2, code=1, value=1
[18825.042966] mouse_logger: [18825390439701] type=0, code=0, value=0
[18825.043964] mouse_logger: [18825391437635] type=2, code=0, value=-1
[18825.043968] mouse_logger: [18825391441456] type=2, code=1, value=1
[18825.043969] mouse_logger: [18825391443091] type=0, code=0, value=0
[18825.044944] mouse_logger: [18825392416827] type=2, code=0, value=-2
[18825.044948] mouse_logger: [18825392422127] type=0, code=0, value=0
[18825.045961] mouse_logger: [18825393434297] type=2, code=0, value=-1
[18825.045965] mouse_logger: [18825393438402] type=2, code=1, value=1
[18825.045966] mouse_logger: [18825393440007] type=0, code=0, value=0
[18825.046974] mouse_logger: [18825394447367] type=2, code=0, value=-2
[18825.046979] mouse_logger: [18825394452530] type=0, code=0, value=0
[18825.047986] mouse_logger: [18825395458592] type=2, code=0, value=-1
[18825.047990] mouse_logger: [18825395463648] type=2, code=1, value=1
[18825.047991] mouse_logger: [18825395465233] type=0, code=0, value=0
[18825.048941] mouse_logger: [18825396413944] type=2, code=0, value=-2
[18825.048944] mouse_logger: [18825396417997] type=2, code=1, value=1
[18825.048946] mouse_logger: [18825396419562] type=0, code=0, value=0
[18825.049942] mouse_logger: [18825397414839] type=2, code=0, value=-2
[18825.049945] mouse_logger: [18825397419156] type=0, code=0, value=0
[18825.050935] mouse_logger: [18825398408586] type=2, code=0, value=-1
[18825.050939] mouse_logger: [18825398412760] type=2, code=1, value=1
[18825.050941] mouse_logger: [18825398414366] type=0, code=0, value=0
